名称,営業日,住所,アクセス
アモーレ Amore 渋谷店,月～日、祝日、祝前日: 15:00～翌0:00,東京都渋谷区宇田川町28-1-8F,渋谷駅徒歩2分 【センター街すぐ】
和牛焼肉食べ放題 肉屋の台所 渋谷宮益坂店,月～金: 16:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）土、日、祝日: 12:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区渋谷１-25-6　パークサイド共同ビル5F ,超駅近！JR私鉄メトロ各線渋谷駅徒歩30秒/本格A5ランク黒毛和牛焼肉が食べ放題★半個室1～6名様/貸切最大100名様OK！
LUXURY BAR&KARAOKE PALACE パレス 渋谷駅前店,月～金、祝前日: 17:30～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）土、日、祝日: 14:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都渋谷区渋谷１-25-6 渋谷パークサイド共同ビル 4F,■JR渋谷駅ハチ公口徒歩30秒！宮下パーク入口ビル４階です！
焼肉 USHIHACHI 渋谷店,月～金: 11:00～15:30 （料理L.O. 15:00 ドリンクL.O. 15:00）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）土、日、祝日: 11:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区道玄坂２-3-1 渋谷駅前ビル　４F,東京メトロ、東急、京王井の頭線渋谷駅より徒歩約1分/ＪＲ、東京メトロ銀座線渋谷駅ハチ公口より徒歩約1分
鳥世界 渋谷道玄坂店,月、日、祝日: 12:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）火～土、祝前日: 12:00～翌7:00 （料理L.O. 翌6:30 ドリンクL.O. 翌6:30）,東京都渋谷区道玄坂２-28-5 道玄坂SUNビル３F,渋谷駅ハチ公口徒歩3分。道玄坂の途中にあるロイヤルホストさんの先です。道案内など気兼ねなくお問い合わせください。
nurikabe cafe SSS エスリー 渋谷,火～日: 12:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）祝日: 12:00～23:00,東京都渋谷区渋谷３‐10‐14　長崎堂　B1,ＪＲ渋谷駅新南口より約3分/東京メトロ、東急渋谷駅エレベーター３１出口より約3分/渋谷ヒカリエより徒歩約5分
海鮮居酒屋 はなの舞 渋谷並木橋店,月～金: 11:30～15:00 （料理L.O. 14:00 ドリンクL.O. 14:30）16:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）土、日、祝日: 15:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区渋谷３-13-5イプセ渋谷2F,JR山手線渋谷駅東口徒歩5分
和食個室居酒屋 鳥世界 渋谷本店,月、日: 12:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）火～土: 12:00～翌7:00 （料理L.O. 翌6:00 ドリンクL.O. 翌6:00）,東京都渋谷区道玄坂２-28-2 GMビル1階,渋谷駅ハチ公口徒歩3分。道玄坂の途中にあるロイヤルホストさんの先です。道案内など気兼ねなくお問い合わせください。
土間土間 渋谷109横 渋谷文化村通り店,月～木: 16:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:30）金、祝前日: 16:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:00）土: 14:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:00）日、祝日: 14:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:30）,東京都渋谷区宇田川町26-2　サンルイビル6F,【渋谷駅徒歩2分】ＪＲ・地下鉄・東急東横線・京王井の頭線／109目の前ビル6F★渋谷　居酒屋　ご予約お気軽に★
個室居酒屋 座楽 渋谷店,月～金: 15:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）土、日、祝日、祝前日: 13:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区渋谷１-２５-６ 渋谷パークサイド共同ビル３Ｆ,渋谷駅から一番（！？）近い居酒屋なので待ち合わせ・解散も楽ちん！人混みを避けて集合解散◎
